gvkey,fyear,datadate,at,ceq,csho,prcc_f,dlc,dltt,dvt,dvc,oibdp,sale,ppent,xad,xrd,fyr,exchg,permno,linktype,linkprim,linkdt,linkenddt,hexcd,mve,market_value_of_assets,market_debt_ratio,ln_market_value_of_assets,profits_to_sales,tangible_assets,market_to_book_assets,advertising_to_sales,rd_to_sales,rd_positive,firm_age,ln_firm_age,prev_year_dvt,prev_year_dvc
001034,1985,1985-12-31,92.265,38.269,6.075,15.9999969,11.324,10.821,0.891,0.891,14.526,96.819,25.957,3.217,2.3,12,11.0,65832.0,LC,P,1984-02-15,2008-12-29,1.0,97.1999811675,151.1959811675,0.1464655332040011,4.444610776558605,0.1376216338538131,0.28786228794101054,1.1174242295091645,0.03503054989816701,0.021588594704684317,1.0,1,0.0,0.405,0.405
001034,1986,1986-12-31,119.456,45.456,9.116,11.49999905,16.378,15.031,1.064,1.064,15.663,123.622,33.504,3.159,3.05,12,11.0,65832.0,LC,P,1984-02-15,2008-12-29,1.0,104.8339913398,178.83399133979998,0.17563215899107343,5.0185768838121625,0.15003253493632449,0.2813309488971983,1.6387143680431366,0.033226949255827885,0.023755667792478747,1.0,2,0.6931471805599453,0.891,0.891
001034,1987,1987-12-31,250.667,55.453,9.063,8.37499809,16.468,119.574,1.089,1.089,21.818,158.929,63.075,4.986,4.626,12,11.0,65832.0,LC,P,1984-02-15,2008-12-29,1.0,75.90260768967,271.11660768967,0.5017840889914006,5.186457952835576,0.1267007490576111,0.2804714706670238,1.4970699784004151,0.025553704033262688,0.024671983951076667,1.0,3,1.0986122886681098,1.064,1.064
001034,1988,1988-12-31,266.618,81.792,11.141,13.87499857,23.584,93.944,1.216,1.216,33.922,236.482,74.146,4.782,5.589,12,11.0,65832.0,LC,P,1984-02-15,2008-12-29,1.0,154.58135906837,339.40735906837,0.34627416542351763,5.602549015010684,0.13728142755570097,0.2516286547491293,1.081580773255634,0.03137249966966381,0.029107337238641156,1.0,4,1.3862943611198906,1.089,1.089
001034,1989,1989-12-31,289.65,93.342,11.176,18.24999762,25.383,101.606,1.451,1.451,37.486,266.292,86.118,5.446,7.336,12,11.0,65832.0,LC,P,1984-02-15,2008-12-29,1.0,203.96197340112,400.26997340111996,0.31725837169589866,5.827201035147177,0.14344432134369633,0.2780982529311599,1.2730099208169365,0.02022141220050575,0.02363393408377805,1.0,5,1.6094379124341003,1.216,1.216
001034,1990,1990-12-31,328.495,111.015,11.235,25.37498474,44.339,101.386,1.792,1.792,41.946,275.457,93.786,4.756,10.055,12,11.0,65832.0,LC,P,1984-02-15,2008-12-29,1.0,285.0879535539,502.5679535539,0.2899607883262519,5.992139252945599,0.1407702822465564,0.2973174520973589,1.3819091089284308,0.020451233983747166,0.02754870593183423,1.0,6,1.791759469228055,1.451,1.451
001034,1991,1991-12-31,358.83,114.006,17.033,24.5,40.87,119.394,2.709,2.709,24.292,290.54,94.079,5.082,12.134,12,11.0,65832.0,LC,P,1984-02-15,2008-12-29,1.0,417.30850000000004,662.1325,0.24204218944093517,6.219730861743384,0.15227785098944663,0.28550206243626236,1.5299105117396004,0.017265852746526682,0.03650297505599785,1.0,7,1.9459101490553132,1.792,1.792
001034,1992,1992-12-31,371.724,184.125,21.492,25.875,31.959,73.651,3.305,3.305,38.252,295.112,105.081,8.428,14.25,12,11.0,65832.0,LC,P,1984-02-15,2008-12-29,1.0,556.1055,743.7045,0.14200532604011404,6.49546568696686,0.0836098299717767,0.2621826491653429,1.8452540200094754,0.017491567426171955,0.04176361258346527,1.0,8,2.0794415416798357,2.709,2.709
001034,1993,1993-12-31,423.202,184.831,21.547,14.0,63.553,81.713,3.873,3.873,32.381,338.23,118.012,6.497,17.314,12,11.0,65832.0,LC,P,1984-02-15,2008-12-29,1.0,301.658,540.029,0.268996664993917,6.6116437785178945,0.1296185854861883,0.2826855408851729,2.0006900280853537,0.02855864891973217,0.0482867521483369,1.0,9,2.1972245773362196,3.305,3.305
001034,1994,1994-12-31,592.318,181.288,21.596,20.25,74.484,220.036,3.893,3.893,34.32,469.263,202.903,,32.497,12,11.0,65832.0,LC,P,1984-02-15,2008-12-29,1.0,437.319,848.3489999999999,0.3471684412900823,6.291622841820032,0.09573662892114833,0.2788550148628787,1.2760549335778186,0.019208822398959286,0.051190018626378495,1.0,10,2.302585092994046,3.873,3.873
001076,1987,1988-03-31,98.161,41.242,4.767,11.0,0.0,38.02,0.485,0.485,21.1,131.079,72.245,6.252,0.0,3,11.0,10517.0,LC,P,1982-11-04,1992-12-31,1.0,52.437000000000005,109.35600000000001,0.347671824134021,4.872300000240643,0.1616354181737717,0.6415056993491448,1.5208471596399922,0.06652822577213424,0.0,0.0,5,1.6094379124341003,0.256,0.256
001076,1988,1989-03-31,106.601,44.663,4.671,10.5,18.857,21.794,0.472,0.472,20.803,146.779,82.125,6.345,0.0,3,11.0,10517.0,LC,P,1982-11-04,1992-12-31,1.0,49.045500000000004,110.9835,0.3662796722035257,4.69460861530199,0.1609716277969774,0.7359847597314616,1.1140473304061695,0.04769642734534135,0.0,0.0,6,1.791759469228055,0.485,0.485
001076,1989,1990-03-31,102.002,46.578,4.574,11.75,12.501,21.525,0.467,0.467,23.948,143.466,91.112,5.583,0.0,3,11.0,10517.0,LC,P,1982-11-04,1992-12-31,1.0,53.744499999999995,109.1685,0.3116833152420341,4.7093815416143805,0.14173008400384252,0.7703961501299238,1.0411112466111951,0.04322825472308709,0.0,0.0,7,1.9459101490553132,0.472,0.472
001076,1990,1991-03-31,100.698,44.022,4.227,9.5,14.205,21.294,0.443,0.443,24.992,143.167,88.938,6.309,0.0,3,11.0,10517.0,LC,P,1982-11-04,1992-12-31,1.0,40.1565,96.8325,0.3666021222213617,4.6928925601593106,0.16692456749334336,0.8932373875022058,1.0702584263053665,0.03891514365773075,0.0,0.0,8,2.0794415416798357,0.467,0.467
001076,1991,1992-03-31,101.051,46.676,4.23,13.75,33.594,0.532,0.425,0.425,31.699,144.549,89.113,4.479,0.0,3,11.0,10517.0,LC,P,1982-11-04,1992-12-31,1.0,58.16250000000001,112.53750000000001,0.3032411418416084,4.572982681734846,0.17456536771742093,0.8832151581957934,0.9616129416671633,0.044067417770855016,0.0,0.0,9,2.1972245773362196,0.443,0.443
001076,1992,1993-03-31,108.217,52.152,8.447,10.0,33.13,0.0,0.506,0.506,42.208,157.632,98.261,4.291,0.0,3,11.0,78049.0,LC,P,1993-01-01,2010-11-30,1.0,84.47,140.535,0.23574198598213972,4.723286499434595,0.21929587890611488,0.8818616342243025,1.113670324885454,0.030986032418072764,0.0,0.0,-1,2.302585092994046,0.425,0.425
